1969,Downhill Racer
1970,M*A*S*H
1970,The Party at Kitty and Stud's
1970,Lovers and Other Strangers
1970,The Sidelong Glances of a Pigeon Kicker
1970,Hercules in New York
1971,Bananas
1971,Klute
1972,"What's Up, Doc?"
1973,No Place to Hide
1973,The Long Goodbye
1974,The Lords of Flatbush
1975,The Prisoner of Second Avenue
1975,Capone
1975,Death Race 2000
1975,Mandingo
1975,"Farewell, My Lovely"
1976,Cannonball
1976,Rocky
1976,Stay Hungry
1978,F.I.S.T.
1978,Paradise Alley
1979,Woman Between Wolf and Dog
1979,Rocky II
1979,The Villain
1979,Scavenger Hunt
1981,Nighthawks
1981,Escape to Victory
1982,Rocky III
1982,First Blood
1982,Conan the Barbarian
1983,Staying Alive
1984,Monaco Forever
1984,Breakin'
1984,Rhinestone
1984,Conan the Destroyer
1984,The Terminator
1985,Rambo: First Blood Part II
1985,Rocky IV
1985,Red Sonja
1985,Commando
1986,"No Retreat, No Surrender"
1986,Cobra
1986,Raw Deal
1987,Over the Top
1987,Predator
1987,The Running Man
1988,Bloodsport
1988,Black Eagle
1988,Rambo III
1988,Red Heat
1988,Twins
1989,Cyborg
1989,Kickboxer
1989,Lock Up
1989,Tango & Cash
1990,Lionheart
1990,Death Warrant
1990,Rocky V
1990,Total Recall
1990,Kindergarten Cop
1991,Double Impact
1991,Oscar
1991,Terminator 2: Judgment Day
1992,Universal Soldier
1992,Stop! Or My Mom Will Shoot
1993,Nowhere to Run
1993,Last Action Hero
1993,Hard Target
1993,Cliffhanger
1993,Demolition Man
1993,Dave
1993,Last Action Hero
1993,Beretta's Island
1994,Timecop
1994,Street Fighter
1994,The Specialist
1994,True Lies
1994,Junior
1995,Sudden Death
1995,Judge Dredd
1995,Assassins
1996,The Quest
1996,Maximum Risk
1996,Daylight
1996,Eraser
1996,Jingle All the Way
1997,Double Team
1997,Cop Land
1997,Men in Black
1997,An Alan Smithee Film: Burn Hollywood Burn
1997,The Good Life
1997,Batman & Robin
1998,Knock Off
1998,Legionnaire
1998,Antz
1999,Universal Soldier: The Return
1999,Inferno
1999,End of Days
2000,Get Carter
2000,The 6th Day
2001,Replicant
2001,The Order
2001,Driven
2002,Derailed
2002,D-Tox
2002,Avenging Angelo
2002,Collateral Damage
2003,In Hell
2003,Taxi 3
2003,Shade
2003,Spy Kids 3-D: Game Over
2003,Terminator 3: Rise of the Machines
2003,The Rundown
2004,Narco
2004,Wake of Death
2004,Around the World in 80 Days
2005,Second in Command
2005,The Kid & I
2006,The Hard Corps
2006,Sinav
2006,Until Death
2006,Rocky Balboa
2007,The Shepherd: Border Patrol
2008,JCVD
2008,Rambo
2009,Kambakkht Ishq
2010,Universal Soldier: Regeneration
2010,The Expendables
2010,The Expendables
2011,Kung Fu Panda 2
2011,Assassination Games
2011,Beur sur la ville
2011,Rzhevsky versus Napoleon
2011,Dragon Eyes
2011,Zookeeper
2012,The Expendables 2
2012,Universal Soldier: Day of Reckoning
2012,Six Bullets
2012,U.F.O.
2012,The Expendables 2
2012,Bullet to the Head
2012,The Expendables 2
2013,Welcome to the Jungle
2013,Enemies Closer
2013,Swelter
2013,Escape Plan
2013,Homefront
2013,Grudge Match
2013,The Last Stand
2013,Escape Plan
2014,The Expendables 3
2014,Reach Me
2014,Sabotage
2014,The Expendables 3
2015,Pound of Flesh
2015,Jian Bing Man
2015,Creed
2015,Maggie
2015,Terminator Genisys
2016,Kung Fu Panda 3
2016,Kickboxer: Vengeance
2016,Ratchet & Clank
2017,Kill 'Em All
2017,Guardians of the Galaxy Vol. 2
2017,Animal Crackers
2017,Aftermath
2017,Wonders of the Sea 3D
2017,Killing Gunther
2018,Kickboxer: Retaliation
2018,Black Water
2018,The Bouncer
2018,Escape Plan 2: Hades
2018,Creed II
2018,Backtrace
2018,The Game Changers
2019,We Die Young
2019,Escape Plan: The Extractors
2019,Rambo: Last Blood
2019,One Night: Joshua vs. Ruiz
2019,Viy 2: Journey to China
2019,Terminator: Dark Fate
2021,Minions: The Rise of Gru
2021,Samaritan
2021,The Suicide Squad